IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.67.148.42,443,443,true,FRA,Europe,Frankfurt,406,5.07
84.8.152.127,443,443,true,FRA,Europe,Frankfurt,394,5.05
143.47.251.187,443,443,true,FRA,Europe,Frankfurt,305,5.03
158.180.55.81,443,443,true,FRA,Europe,Frankfurt,272,5.03
141.147.118.236,443,443,true,FRA,Europe,Frankfurt,273,5.02
150.230.23.156,443,443,true,FRA,Europe,Frankfurt,279,5.02
158.180.12.195,443,443,true,FRA,Europe,Frankfurt,310,5.01
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,107,5.00
84.8.147.179,443,443,true,FRA,Europe,Frankfurt,285,5.00
152.67.129.113,443,443,true,FRA,Europe,Frankfurt,287,5.00
143.47.242.207,443,443,true,FRA,Europe,Frankfurt,275,5.00
141.148.233.254,443,443,true,FRA,Europe,Frankfurt,275,4.99
158.180.27.153,443,443,true,FRA,Europe,Frankfurt,275,4.99
217.142.243.205,443,443,true,KIX,Asia Pacific,Osaka,73,4.94
141.148.231.230,443,443,true,FRA,Europe,Frankfurt,277,4.91
143.47.243.144,2053,443,true,LHR,Europe,London,251,4.89
150.230.122.220,443,443,true,FRA,Europe,Frankfurt,273,4.87
150.230.123.194,443,443,true,FRA,Europe,Frankfurt,335,4.87
89.168.111.24,443,443,true,FRA,Europe,Frankfurt,268,4.80
141.145.199.188,443,443,true,CDG,Europe,Paris,249,4.79
143.47.251.117,443,443,true,FRA,Europe,Frankfurt,285,4.76
143.47.238.40,443,443,true,FRA,Europe,Frankfurt,257,4.76
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,183,4.69
141.147.74.69,443,443,true,FRA,Europe,Frankfurt,267,4.67
158.180.38.9,443,443,true,FRA,Europe,Frankfurt,272,4.67
158.178.153.206,443,443,true,FRA,Europe,Frankfurt,277,4.61
141.147.85.22,443,443,true,FRA,Europe,Frankfurt,280,4.60
143.47.243.144,8443,443,true,LHR,Europe,London,264,4.59
141.148.230.120,443,443,true,FRA,Europe,Frankfurt,255,4.55
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,197,4.53
192.18.139.229,8443,443,true,SJC,North America,San Jose,174,4.53
143.47.183.234,443,443,true,FRA,Europe,Frankfurt,266,4.51
141.147.82.119,443,443,true,FRA,Europe,Frankfurt,280,4.50
155.248.196.123,443,443,true,YVR,North America,Vancouver,199,4.50
141.147.114.45,443,443,true,FRA,Europe,Frankfurt,258,4.48
130.162.174.57,443,443,true,FRA,Europe,Frankfurt,318,4.46
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,271,4.41
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,287,4.36
141.145.205.115,8443,8443,true,CDG,Europe,Paris,255,4.33
129.151.205.193,443,443,true,ARN,Europe,Stockholm,335,4.30
143.47.224.185,443,443,true,FRA,Europe,Frankfurt,258,4.28
132.226.211.69,443,443,true,FRA,Europe,Frankfurt,279,4.27
129.146.254.39,443,443,true,LAX,North America,Los Angeles,179,4.25
132.145.54.84,8443,443,true,LHR,Europe,London,266,4.20
141.148.238.153,443,443,true,FRA,Europe,Frankfurt,274,4.18
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,268,4.18
144.21.48.193,443,443,true,FRA,Europe,Frankfurt,267,4.18
130.162.182.132,443,443,true,FRA,Europe,Frankfurt,277,4.17
141.147.67.188,443,443,true,FRA,Europe,Frankfurt,273,4.17
132.145.152.194,443,443,true,IAD,North America,Ashburn,234,4.12
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,264,4.06
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,267,4.05
138.2.162.213,443,443,true,FRA,Europe,Frankfurt,316,4.03
84.8.151.199,443,443,true,FRA,Europe,Frankfurt,328,4.01
141.147.71.173,443,443,true,FRA,Europe,Frankfurt,263,4.01
138.2.154.60,443,443,true,FRA,Europe,Frankfurt,327,3.99
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,275,3.99
158.180.239.249,2095,443,true,DFW,North America,Dallas,250,3.99
138.2.152.217,443,443,true,FRA,Europe,Frankfurt,319,3.94
138.2.173.75,443,443,true,FRA,Europe,Frankfurt,321,3.94
155.248.202.141,443,443,true,SJC,North America,San Jose,173,3.90
138.2.169.5,443,443,true,FRA,Europe,Frankfurt,316,3.89
158.101.24.17,443,443,true,LAX,North America,Los Angeles,187,3.89
84.8.153.47,443,443,true,FRA,Europe,Frankfurt,322,3.87
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,265,3.86
